date,r&d,assets,liabilities,current_assets,current_liabilities,current_ratio
2020-09-30,4978.0,323888.0,258549.0,143.71,105.39,1.36
2020-06-30,4758.0,317344.0,245062.0,140.07,95.32,1.47
2020-03-31,4565.0,320400.0,241975.0,143.75,96.09,1.50
2019-12-31,4451.0,340618.0,251087.0,163.23,102.16,1.60
2019-09-30,4110.0,338516.0,248028.0,162.82,105.72,1.54
2019-06-30,4257.0,322239.0,225783.0,134.97,89.7,1.51
2019-03-31,3948.0,341998.0,236138.0,123.35,93.77,1.32
2018-12-31,3902.0,373719.0,255827.0,140.83,108.28,1.30
2018-09-30,3750.0,365725.0,258578.0,131.34,115.93,1.13
2018-06-30,3701.0,349197.0,234248.0,115.76,88.55,1.31
2018-03-31,3378.0,367502.0,240624.0,130.05,89.32,1.46
2017-12-31,3407.0,406794.0,266595.0,143.81,115.79,1.24
2017-09-30,2997.0,375319.0,241272.0,128.65,100.81,1.28
2017-06-30,2937.0,345173.0,212748.0,112.88,81.3,1.39
2017-03-31,2776.0,334532.0,200450.0,101.99,73.34,1.39
2016-12-31,2871.0,331141.0,198751.0,103.33,84.13,1.23
2016-09-30,2570.0,321686.0,193437.0,106.87,79.01,1.35
2016-06-30,2560.0,305602.0,179061.0,93.76,71.49,1.31
2016-03-31,2511.0,305277.0,174820.0,87.59,68.27,1.28
2015-12-31,2404.0,293284.0,165017.0,76.22,76.09,1.00
2015-09-30,2220.0,290345.0,170990.0,89.38,80.61,1.11
2015-06-30,2034.0,273151.0,147474.0,70.95,65.29,1.09
2015-03-31,1918.0,261194.0,132188.0,67.89,58.73,1.16
2014-12-31,1895.0,261894.0,138566.0,83.4,73.61,1.13
2014-09-30,1686.0,231839.0,120292.0,68.53,63.45,1.08
2014-06-30,1603.0,222520.0,101580.0,67.95,46.21,1.47
2014-03-31,1422.0,205989.0,85810.0,70.54,43.21,1.63
2013-12-31,1330.0,225184.0,95500.0,80.35,53.77,1.49
2013-09-30,1168.0,207000.0,83451.0,73.29,43.66,1.68
2013-06-30,1178.0,199856.0,76502.0,68.22,36.32,1.88
2013-03-31,1119.0,194743.0,59253.0,63.34,35.51,1.78
2012-12-31,1010.0,196088.0,68742.0,72.35,46.88,1.54
2012-09-30,906.0,176064.0,57854.0,57.65,38.54,1.50
2012-06-30,876.0,162896.0,51150.0,51.94,33.06,1.57
2012-03-31,841.0,150934.0,48436.0,50.71,32.04,1.58
2011-12-31,758.0,138681.0,48627.0,54.77,34.61,1.58
2011-09-30,645.0,116371.0,39756.0,44.99,27.97,1.61
2011-06-30,628.0,106758.0,37415.0,46.9,26.86,1.75
2011-03-31,581.0,94904.0,33427.0,47.0,24.33,1.93
2010-12-31,575.0,86742.0,32076.0,43.93,23.8,1.85
2010-09-30,494.0,75183.0,27392.0,41.68,20.72,2.01
2010-06-30,464.0,64725.0,21614.0,36.03,15.61,2.31
2010-03-31,426.0,57057.0,17709.0,32.34,12.23,2.64
2009-12-31,398.0,53926.0,18158.0,33.33,13.1,2.55
2009-09-30,358.0,47501.0,15861.0,31.56,11.51,2.74
2009-06-30,341.0,48140.0,22252.0,35.17,16.66,2.11
2009-03-31,319.0,43237.0,18926.0,33.85,13.75,2.46
2008-12-31,315.0,42787.0,19878.0,35.16,14.76,2.38
2008-09-30,298.0,36171.0,13874.0,30.01,11.36,2.64
2008-06-30,292.0,31709.0,12087.0,28.0,9.22,3.04
2008-03-31,273.0,30471.0,12418.0,26.74,9.63,2.78
2007-12-31,246.0,30039.0,13235.0,26.19,10.54,2.49
2007-09-30,207.0,25347.0,10815.0,21.96,9.28,2.37
2007-06-30,208.0,21647.0,8243.0,18.75,6.99,2.68
2007-03-31,183.0,18711.0,6450.0,16.03,5.49,2.92
2006-12-31,184.0,19461.0,8233.0,16.66,7.34,2.27
2006-09-30,179.0,17205.0,7221.0,14.51,6.44,2.25
2006-06-30,175.0,15114.0,5784.0,12.49,5.02,2.49
2006-03-31,176.0,13911.0,5229.0,11.29,4.46,2.53
2005-12-31,182.0,14181.0,5801.0,12.16,5.06,2.40
2005-09-30,148.0,11516.0,4088.0,10.3,3.49,2.95
2005-06-30,145.0,10488.0,3667.0,9.38,3.12,3.00
2005-03-31,119.0,10111.0,3725.0,9.01,3.35,2.69
